! Boomerang band powers (Netterfield et al, astro-ph/0104460 v3, Table 3)
! Bins are of width 50 in l.
! l-range,  Cl (uk^2), +/-
 76  125  3519  558
126  175  4688  555
176  225  5592  548
226  275  5699  486
276  325  3890  316
326  375  2591  207
376  425  1842  152
426  475  2070  161
476  525  2267  174
526  575  2293  182
576  625  2058  181
626  675  1934  190
676  725  1828  207
726  775  1440  226
776  825  1920  288
826  875  2243  361
876  925  1752  428
926  975   985  506
976 1025   502  627
